textos,labels
  consumo general alcohol alto   tasa consumo excesivo alcohol1 austria   19     ligeramente media ue   20     adolescente 2013 14   20    nina 15 ano chico 15 ano declarar haber él emborrachar vida   proporcion similar media ue   proporcion baja mayoria demas país ue   aumentar sustancialmente 1999   9    adulto austriaco obeso   adulto austriaco encontrar activo fisicamente ue   inactividad fisico joven 15 ano relativamente alto,3
tema particularmente importante material curricular tarea educativo relevancia significado grupo poblacion estudiantil   incluir estudiante indigena   young   2010    comparacion estudiante país   grupo rendimiento realizar tarea semana   indicador particularmente pronunciado alumno rendimiento australia   figurar 6 3  ,4
  educacion cuidado infancia   eapi   alto calidad generar mejor resultado etapa posterior vida   ejemplo   numero ano pasado    eapi fuerte predictor nivel desempeno escuela alcanzado etapa posterior     nino origen inmigrante nino desfavorecido nivel mundial beneficiar él maximo asistir eapi alto calidad     beneficio asistir ecec limitar resultado aprendizaje,4
solicitante buscar trabajo activamente   mayoria caso   desempleo involuntario   dificil observar practica definicion vario país   duracion beneficio limitada mayoria país     seguro obligatorio mayoria empleado   voluntario país nordico   buscador empleo cuyo derecho prestación seguro desempleo expirar   cuyo historial laboral insuficiente hacer él elegibl lugar   derecho asistencia desempleo   país   asistencia desempleo principal prestacion desempleo,1
seccion 3 investigar estrategia promover formacion profesional calidad   incluir aprendizaje   seccion 4 centrar apoyo estudiante riesgo   descripcion detallado evaluacion sistema educativo letonia   vear ocde   2015e    ministerio educacion ciencia   mo   nacional funcion supervision   trav centro nacional educacion subordinado   establecer estandar educativo nacional determinar plan estudio procedimiento examen   proporcionar marco regulatorio provision educacion vocacional emplear director establecimiento vet 1 mantener registro estandar ocupacional estudiar demanda habilidad mercado laboral,4
persona ano escolaridad indice pobreza similar promedio   esperar   porcentaje pobre desempleado ocupado economicamente inactivo     ocupado   tasa pobreza menor asalariado trabajador   país tasa pobreza similar poblacion economicamente inactivo   plantear pregunta politica publica alivio pobreza poner suficiente enfasis logro estandar minir   mirada amplio pobreza   incluido deficiencia esfera proteccion social ingreso   explorar relacion dimensión privacion   particular   explorar conceptual empiricamente dimensión   umbral forma sumar dimensión avanzar construccion indice pobreza multidimensional relevante aplicable region,1
país   alumno segregar via edad temprano   reflejar nocion nino alcanzar nivel clase mundial   pisa mostrar seleccion relacionado disparidad social   contrario   país estonia   canado   finlandio japon   padre profesor comprometido creencia alumno alcanzar alto nivel,4
esencial garantizar acceso servicio salud volver equitativo resultado intervención ghp   ghps introducir él respaldir objetivo     intervención ghp responder caracteristica especifico sistema salud domestico respectivo necesidad,3
creer curriculo integrado tipo contribuir epi alto calidad comportamiento social   tabla 1 2    bennett   2004   siraj blatchford   2010    ejemplo   suecia educacion infancia alto calidad   contenido curriculo conceder valor aprendizaje social cognitivo   sheridar et    2010   ,4
mayoria país   ingreso familiar incluir valor alquiler imputado vivienda ocupado propietario   chile   pobreza disminuyo levemente 2006 2009   tasa indigencia permanecio basicamente cambio 3 tasa pobreza indigencia salvador cambiar 2004 2009   chile   cifra presentado diferir estimación oficial pais   mideplar,1
director escuela participar pisa 2015   estudiante promedio país ocde asistir escuela 84    docente obtener certificacion completo   proporcion vario ampliamente   100    macao   china   10    colombia   hallazgo mostrar proporcion docente certificar ensenar asociar positivamente desempeno estudiante país seleccionado   perfil socioeconomico estudiante escuela   figurar 1 9    debil impacto general sorprendente   dar estandar utilizado país certificar docente mayoria país alto porcentaje docente certificado,4
ventaja relativamente pequén mujer africa 2010 2015 principalmente consecuencia impacto diferencial epidemia vih sida nivel mortalidad sexo   prevalencia estimado vih mujer hombre   región desarrollado   ventaja femenino europa   7 4 ano 11 3 ciento   america norte   4 7 ano 6 1 ciento   oceania   incluir australia zelanda   tasa mortalidad infantil   conocido   tasa mortalidad menor anos 1   disminuyo  ritmo notable 3 ciento anual 1990 2015,3
mep reconocer evaluacion reformado pasar evaluar conocimiento contenido examinar habilidad estudiante aplicar utilizar conocimiento forma demostrar competencia orden superior   supondro mejora significativo evaluacion   captar gama limitado actividad aprendizaje   evaluacion incluir modificación,4
incidente importancia historia atencion salud mental japon ataque cuchillo embajador ee   uu   japon   edwin reischauer   persona esquizofrenia 1964   ataque genero alarma publico significativo contribuyo  aumentar estigma enfermedad mental     impulsado campana medio comunicacion   alto nivel existente estigma dirigido trastorno mental   incidente contribuyo revision 1965 ley higiene mental discutido anteriormente   1993   ley salud mental enmendar nuevamente   enfoque particular atencion comunidad   incluir autorizacion construccion hogar grupal comunidad persona trastorno mental   tatar okamoto   2009    ley atencion salud comunitario introducido 1994 apoyo establecimiento sistema salud mental basado comunidad,3
liderazgo particular   factor clave eficacia escolar   figurar fuerza marco evaluacion   proyecto   estrategia desarrollo liderazgo escolar   asociacion nacional smarter schools   llevar cabo aitsl   pretender desarrollar enfoque nacional mejorar capacidad liderazgo escolar   tipicamente   revision escolar seguido formulacion recomendación mejora suponer escuela aplicar preparacion plan mejora     equipo revision formo opinion grado seguimiento autoridad revision escolar variable   jurisdiccion educativo   depender capacidad red regional,4
  resultado empirico sugerir obtener recurso educativo aumentar equidad trav politica proporcionar senal pertinente escuela docente   ejemplo   brindar incentivo financiero docente calificar resultar herramienta eficaz dirigir él estudiante desfavorecido   areas   tercer lugar   trabajo llenar vacio investigacion empiricar proporcionar evidencia país   diferencia país especifico   importancia politica intervencion temprano atenuar desigualdad socioeconomica intergeneracional oportunidad educativo   sugerir politica cuidado infantil intervencion temprano efectivo alcanzar objetivo   finalmente   analisis país intentar descubrir papel jugar politica social mercado laboral influir igualdad oportunidad educativo   dar relacion positivo desigualdad intergeneracional transversal   ingreso  ,4
2016 publico informe consejo asesor desarrollo indicador calidad establecio sistema seguimiento publico indicador calidad   2002   ehif llevar cabo auditoria clinica colaboracion experto ano   ejemplo 2013 sugerir 67 5    visita especialista hipertension 20    visita especialista diabetes considerar él   evitabl   manejar él adecuado atencion primario,3
sistema educativo serie caracteristica promover equidad   incluir alto proporcion estudiante matriculado educacion infancia   bajo repeticion grado escolarizacion integral 16 ano   tasa graduacion secundaria superior alto   tasa matriculacion educacion formacion profesional    fp    abandono fp alto   educacion terciario accesible   trav politica plan subvención prestamo financiado fondo publico   encuesta habilidad adulto ocde   adulto dinamarca demostrar habilidad alfabetizacion promedio habilidad aritmetica promedio comparacion promedio país participant   adulto joven obtener puntaj promedio,4
mayoria persona 25 64 ano alemania   55     obtener cualificacion profesional nivel secundario superior postsecundario   cuarto proporcion país dato disponible   promedio ocde 33      alto incidencia cualificación profesional titulo general   principalmente abitur   dedicar educacion superior entrada directo mercado laboral   3    adulto obtener cualificacion general secundaria superior postsecundaria grado alto   proporción bajo país ocde   promedio ocde 12      tabla   2005 2012   tasa desempleo reducir 7 punto porcentual adulto educacion secundario superior   20 1    12 8       6 punto porcentual educacion secundario superior postsecundario terciario   11 0    5 3     3 punto porcentual titulo terciario   5 6    2 4    ,4
excelente atencion medico fundamental lograr él     atencion medico japonés desempeno   esperanza vida largo   83 2 ano comparacion promedio ocde 80 2 ano   gasto salud usd 3 649 ppa per capita ano   ligeramente superior usd 3 484 promedio     caracteristica llamativo sistema salud japón apertura flexibilidad,3
consolidar marco evaluacion evaluacion   espacio incorporar enfoque evaluacion evaluacion objetivo educativo amplio   continuar construir profesionalismo docente construir red capacidad evaluacion evaluacion efectivo vision futuro   particular area evaluacion alumno aula   evaluacion docente autoevaluacion escuela   descripcion general   capitulo siguiente   3 6   analizar problema relacionado componente individual profundidad   termino   evaluacion   utilizar referir él juicio desempeno individual estudiante logro meta aprendizaje,4
capitulo comenzar descripcion general reforma tailandia relacionado tic educacion   proporcionar analisis problema politica relacionado area   presentar recomendación mejorar apoyar tic mejorar calidad equidad educacion   sistema educativo conjunto   objetivo estrategia utilizar tic crear   tailandia inteligente    sociedad   inteligente alfabetizado informacion    conocimiento beneficie ciudadano   sociedad conjunto    ministerio tic   2009a    educacion pilar clave esfuerzo,4
  programa fortalecimiento gestion escolar   invertirar mex 41 millón 595 escuela   buscar apoyar lider escolar gestion recurso escolar   gobiemo morelo   2016a    ambicion similar   programa escuela calidad   programa escuela cualidad   objetivo fortalecer autonomia institución educacion basico gestion recurso   tiempo apoyar escuela consejo tecnico escolar adopcion mejor practica ayudar él cumplir planificacion     evaluacion asignacion responsabilidad presupuestaria efectivo   trav inversion mex 26 57 millón 2015 16   475 escuela beneficiar programa   comparacion ano   representar expansion 55 escuela   gobiemo morelo   2016a    componente programa escuela calidad implicar evaluacion maestro instruccion salón clase director capacidad liderar   actividad aumentar participacion padre aprendizaje hijo   probable costo instruccion nino desfavorecido alto acomodado more él tomar medida positivo paliar necesidad,4
actualmente pais 4 500 centro tratamiento rehabilitacion privado 600 publico   estadistica oficial   2014 65 216 persona registrado consumidor droga kazajstan   kirguistar   tayikistar uzbekistan   frente 73 345 persona 2013   numero drogodependient registrado oficialmente kazajstan 2014 situo 34 221 persona   representar disminucion significativo comparacion 40 224 persona 2013   kirguistar   9 024 persona registrar oficialmente drogodependient 2014   representar 8 8   2013,3
informacion contenido documento relacionar area control efectivo gobierno republica chipre   andradir f     2008     contribucion educacion   ocupacion actividad estimulacion cognitivo formacion reserva cognitivo    dementiar and neuropsychologia   vo    2     working paper roa rm 2010 1   centro investigacion educacion mercado laboral   roa    maastricht,4
personal docente lituania   formacion grado   mostrar habilidad numerica bajo graduado educacion terciaria bajo nivel promedio docente país miembro ocde participar encuesta habilidad adulto   figurar 3 5    puntaj competitivo utilizado admisión educacion superior   basar puntaj examen maturo   mostrar puntaje minimo requerido ingresar programa formacion docente consistentemente requerido campo popular selectivo   medicina   tabla 3 6    principal proveedor programa formacion docente   universidad pedagogico pais   recibir aprobacion institucional limitado organismo garantia calidad educacion superior pais   debate curso forma programa institución desempenar función inicial   formacion docente,4
innovacion aprovechar oportunidad beneficiar intercambio conocimiento practica implementar reforma exito   investigacion enfatiza particularmente necesidad utilizar diverso estrategia ensenar aprender circunstancia   significar informe centrar rea     recurso educativo   particular   medio educativo   intentar mantener foco interaccion proceso infraestructura organizativo   medio utilizar red colaboracion   conocimiento   dado perdido      investigacion,4
fortalecimiento atencion primaria publicar comunitario dario resultado autorreferencia departamento emergencia hospital dolencia afección menor costo tratamiento alto   finalmente   manejo condición cronica entorno atencion primario contribuirio prevenir deterioro necesidad atencion hospitalario   ejemplo   medico cabecera medico familia privado vinculado sistema myhealth derivación servicio podiar solicitar especialista hospital     gama servicio prestado atencion primario ampliar incluir   ejemplo   clinica gestion enfermedad cronica clinica estilo vida saludable,3
microrregión hungria subregión estadistica   149 microrregión budapest incluida sistema   atencion diurno comprender servicio atencion salud brindar paciente ingresar formalmente hospital   establecimiento ambulatorio centro autonomos   intencion alta paciente,3
piloto exito construir plataforma digital permanente   ocurrir país   país desempeno pisa   japon   singapur corea sur asia   estonia finlandia europa   canado america norte   obtener lugar evaluacion pís resolucion colaborativa problema   ejemplo   estudiante japonés materia   resolucion colaborativa problema,4
ejemplo   coste medico anual directo unido var diagnosticado diabetes   complicación   ascendiar 2 465 dolar     coste disparar enfermedad avanzo aparecer complicación   coste anual aumentar 70   150   caso paciente cardiopatia coronario   insuficiencia cardiaco congestivo   hemiplejia amputacion,3
moes responsable desarrollo politica educativo plan estrategico aprobado gobierno coordinar departamento educacion municipal implementacion politica educativo estatal   coordinar distribucion financiacion escolar presupuesto estatal asignacion fondo estructural ue   ministerio responsable garantia calidad   acreditacion plan estudio educacion general examen final   ministerio   oficina nacional auditoria lituania desempenar papel clave   realizar periodicamente auditoria financiero institución presupuestaria campo educacion revisar actividad mo trav auditoria desempeno planificado,4
  ultimo ano observar aumento actividad medico concertado prestar asistencia ambulatorio   aumento constante numero   honorario medico cabecera especialista concertado regulado medida cubierto seguro social enfermedad   vear apartado 4    acceso asistencia ambulatorio basar capacidad pago necesidad medico   contribuir disparidad lander   zona urbano rural,3
organizacion brindo apoyo mejora calidad hospital   practica atencion primario   junto nhs   paciente   cuidador comunidad   especial hincapie fomentar participacion paciente toma decisión compartido esfuerzo mejorar eficacia   seguridad atencion centrado paciente   objetivo clave inspeccion reducir infección adquirido atencion salud promocion prevencion control infección   1 octubre 2013 31 diciembre 2014   realacer 51 inspección   41 anunciar,3
mediano plazo   cambio tecnologico jugar papel importante explicacion crecimiento   plazo   factor riesgo   obesidad   cambio prevalencia enfermedad cronica entrar escena   thorpe et    factors influing the future trayectoria of health insurance include demand sidir factor   such as aging and the health poblacion   crecimiento ingreso comportamiento consumidor   impulsor oferta   progreso tecnologico cambio practica tratamiento   productividad precio salud2   factor regulatorio   caracteristica institucional sistema salud financiacion  ,3
enfoque plan 2006 2009 creacion contenido aprendizaje electronico mejora continuo calidad curriculo tic     desafio sistema educativo ofrecer oportunidad capacitacion aprendizaje grupo tradicionalmente desatendido marginado   incluir nina mujer enfrentar barrera escolarizacion   población rural dispersa poblar escuela regular rentable tamano clase razonable   nino familia extremo pobreza grupo necesidad especial persona discapacidad acceso aprendizaje   centro   seguimiento har seguimiento resultado plan estudio adaptado tic,4
ejemplo   programa transferencia monetario prosperar   anteriormente conocido oportunidad progresa   alentar familia desfavorecido enviar hijo escuela chequeo medico   cubrir 6 5 millón familia mexicano ayudar aumentar tasa inscripcion escuela secundario   reducir incidencia anemia nino reducir tasa pobreza zona rural     continuar esfuerzo adicional mejorar calidad oportunidad educativo brindar,4
tasa letalidad persona ingresado infarto dinamarca baja país ue informar dato   figurar 11    admisión accidente cerebrovascular   diagnostico mejor tratamiento   mujer danés diagnosticada cancer mama cuello uterino mayor posibilidad supervivencia ano ue   ocde   dinamarca ofrecer modalidad deteccion primario prueba virus papiloma humano identificacion temprano cancer cuello uterino   iarc   2017   tasa general mortalidad cancer dinamarca cuarto alto ue,3
medida sector salud incluir reduccion salario trabajador salud   recorte gasto farmaceutico publico revision precio proveedor privado   practica medica objeto introduccion directriz clinica   esfuerzo reciente centrar cambio mecanismo pago proveedor   desarrollo evaluacion tecnologia sanitario definicion lista nacional producto farmaceutico pauta prescripcion,3
tiempo   base ingreso contraer   provocar caida ingreso total gobierno termino nominal 7    gasto salud porcentaje gasto gobierno mantener razonablemente constante tiempo   deuda publicar aumento rapidamente   doble porcentaje pib   frente caida ingreso gobierno   incluyo  cambio politica cargo usuario elegibilidad sector publico objetivo aumentar ingreso reducir demanda innecesario servicio   llamado renovado implementar sistema universal salud   cuadro 1  ,3
oficina ejecutivo presidente republica kazajstan desempenar papel importante definicion estrategia educativo desarrollo iniciativa clave   ministerio educacion ciencia concentrar diseno politica aplicar estrategia educativo   región   oblasts   distrito   rayons   responsable prestacion servicio educativo escuela   ensenanza primario secundario obligatorio kazajstan estudiante derecho asistir gratuitamente centro publico,4
hacer él estimacion tasa riesgo proporcional utilizar estimador kaplan meier   estimar funcion supervivencia   probabilidad alguien   sobrevivo especificado   alla tiempo   mostrar censurado sesgado   denisova   2011      probabilidad incondicional poder utilizar él representar posibilidad general entrar salir pobreza   tasa riesgo condicional indicar   ejemplo   posibilidad alguien salir pobreza     decir   ano   conjunto caracteristica especificada   ejemplo   caracteristica hogar   situacion adulto mercado laboral   derecho recibir transferencia publica   caracteristica capital humano   region tiempo    función probabilidad condicional estimar él relacion umbral pobreza relativo pobreza absoluto,1
persona cuyo ingreso inferior 50   ingreso medio equivalente   riesgo pobreza    union europea utilizar umbral 60    gasto vivienda 12    umbral bajo lugar denominar medida   pobreza severo    brewer et    headcount ratio in the late 2000s revealed that 12 8   of the over 65s were poor in the oecd area   figure 2 8  ,1
criterio identificacion pobre comparar metodo indirecto   tradicional region    definir pobreza base ingreso per capita hogar   tomo base analisis encuesta disponible condición vida hogar region   brindo dato implementacion ambos metodologia   mejorar estudio diagnostico   evaluacion america latino caribe utilizo umbral privacion moderado   reflejar necesidad insatisfecho socavar bienestar desarrollo nino,1
reforma conducir plan nacional salud mental 1999 2008 traer mejora sustancial servicio salud mental   ambito atencion primario especializado     instituyo esquema medico general regular 2001 mejorar calidad acceso servicio atencion primaria salud   medico cabecera normalmente responsable lista paciente 1 500 persona,3
beca subvención hogar ascender 15 4    gasto publico educacion terciaria   promedio ocde 11 6     universidad publica region lisboa   universidad lisboa   universidadar lisboa   universidad tecnico lisboa   universidade tdcnico lisboa    fusionar institucion   ministerio proporcionar beca estudiante funcion necesidad financiero limitar impacto inscripcion estudiante recorte presupuestario actual crisis financiero,4
permitir comparacion periodo identico 10 ano frente dato pobreza relativamente escaso   periodo utilizado 1995 2005   periodo 10 ano superponer perfectamente utilizado mundo velocidad capitulo 1   país presentar modo lugar clasificacion decada 1990 2000   elasticidad promedio país tabla 4 1   0 76   0 71 excluir valor atipico,1
  proporcion quintil mayor ingreso   82    menor   56     brecha suecia   dinamarca ue conjunto   figurar 4    tabaquismo habitual adolescente 15 ano disminuyo rapidamente   30    2001 02 13    2013 14    alto país ue 1 reflejar resultado positivo estudio tabaco completo   politico control   seccion 5 1  ,3
termino lograr generalizado   ejemplo   farrington et    referir   supercognitivo    enfatizar factor depender emerger pensamiento   idea significado desarrollado   cognitivo   particular   intrator siegel   2014    cualesquiera exactamente   habilidad    contexto haber cambio concertado pedagogia apuntar desarrollar competencia personal social alto nivel,4
responsable autoridad federal   general   preocupado desarrollo nacional compromiso regional local   país   institución educacion superior malasia mision regional explicitar dejar iniciativa institución individual   universidad intensivo investigacion   principal impulsor excelencia cientifico,4
suecia inicio consejo nacional prevencion suicidio 1993   convertir él país mundo establecer estrategia nacional integral prevencion suicidio   1994   decision parlamentario conducir creacion centro nacional investigacion suicidio prevencion enfermedad mental   nasp    red coordinar cooperacion actor involucrado   incluir proveedor atencion medico   servicio social   escuela   iglesia ong   objetivo facilitar esfuerzo prevencion suicidio integrar trabajo salud publicar nacional nivel local,3
general   atencion primario servicio atencion agudar dinamarca parecer funcionar eficiente creciente demanda   proporcion paciente acudio departamento urgencia falta disponibilidad atencion primario baja país ue 2011 13   figurar 14    tasa ingreso hospitalario potencialmente evitabl insuficiencia cardiaco bajo   ejemplo   tasa admision estandarizado diabetes variar 1 5 región admisión evitabl persona mayor 65 ano variar doble municipio danés   40 90 1000 habitante    retraso alto hospitalaria variar ampliamente   ocde    sugerir variacion injustificado acceso calidad servicio atencion primario atencion posaguda   necesidad coordinacion nivel atencion,3
enfoque aspecto pobreza reflejar situación violación derechos humanos   basar proposicion pobreza negacion derechos humanos    falta acceso alimento impedir pobre liberar hambre   vulnerabilidad reduccion proteccion social someter precariedad ingreso   discriminacion experimentar vida social politico privo dignidad,1
especialista concentrar ciudad escasez problema particularmente apremiante zona rural   informe   escasez especialista medicina urgencia   anestesista   especialista cuidado intensivo oftalmologo especialmente acuciante zona rural   municipio rural probar serie iniciativa atraer especialista   incluir suplemento salarial alojamiento gratuito     escasez persistir   indicar problema complejo probablemente necesitar iniciativa adicional   mejora educacion rural servicio   atraer profesional salud familia   demanda enfermera especializado   enfermera quirurgica enfermera cuidado intensivo   particularmente alto europa   tasa expatriacion enfermera relativamente alto 5 0     mencionar anteriormente   ocde   2015c    volver trabajar enfermerio crisis financiero mundial 2008   ofrecer empleo estable comparacion sector afectado recesion economico    promedio 150 enfermera elegir dejar trabajar enfermera 200 350 enfermera entrenar ano,3
adulto comenzar trabajar   riesgo caer pobreza disminuir belgica   aumentar dinamarca   islandio luxemburgo     permanecer hogar trabajo asociar riesgo caer pobreza chipre   estonia hungria   menor riesgo belgica   finalmente   nino hogar desempleado tiempo t 1     adulto trabajo   probabilidad caer pobreza estonia hungrio   linea pobreza movil producir resultado cualitativamente similar   estimación disponible autor previo solicitud  ,1
aumento movilidad internacional trabajador salud tarea desafiante   comparacion caso gobierno determinar oferta demanda trabajador salud   desafio adicional   abordar disparidad densidad medico región especialidad   probable incentivo financiero mejorar preocupación area,3
estudio senalar importancia implicacion familiar seguimiento practica calidad servicio   edwards et    investigacion indicar implicacion familiar educacion temprano influencia aprendizaje desarrollo nino   hidalgo   epstein siu   2002   hallar prueba participacion familiar importante ayudar nino exito educacion,4
realizar comparación variedad país ocde miembro ocde región   municipio   federacion ruso 24 resultado ambos dimensión sugerir margen sustancial mejorar eficiencia gasto publico   comparación país sugerir resultado salud federacion ruso similar logrado país gastar 30   40     resultado base comparación región municipio sugerir resultado salud actual producir él tercio insumos actual región eficiente poder emular eficiente   región exito logro resultado   recurso disposicion modesto 25   región demostracion banco mundial   voronezh republica chuvash   parecer exito considerable mejora oferta atencion salud   resultado salud demostrar potencial considerable desempeno   recuadro 3 1  ,3
dato incluir paso caminata   peso   presion arterial   indicar masa corporal   porcentaje grasa visceral   tasa muscular   porcentaje grasa corporal nivel hbalc   hdl c ldl c   medicion realacer febrero 2009   seguir medicion agosto 2009   resultado mostrar numero participante enfermedad cronica disminuyo persona   demostrar tasa mejora 83 3 ciento,3
1990 2015   mil millón persona salir pobreza extremo     lograr ods 1 facil   700 millón persona seguir luchar pobreza extremo vivir 1 90 dolar   poblacion mundial crecer   esfuerzo erradicacion pobreza exigirar lleguer comunidad marginado via desarrollo actual carecer capacidad productivo   vivir area remoto acceso servicio enfrentar discriminacion   persona escapar pobreza ingreso seguir relativamente pobre contexto local enfrentar privación salud   educacion vivienda,1
